#THIS SPECTRUM IS BASED ON SOLAR2000 UP TO 105 NM AND PANAYOTIS MODEL FROM THERE ON.
    121.5445    121.5495    2.5390e+10    1.00
    121.5495    121.5545    2.4167e+10    1.00
    121.5545    121.5595    2.1476e+10    1.00
    121.5595    121.5645    1.9166e+10    1.00
    121.5645    121.5695    1.7881e+10    1.00
    121.5695    121.5745    1.7685e+10    1.00
    121.5745    121.5795    1.8634e+10    1.00
    121.5795    121.5845    2.0593e+10    1.00
    121.5845    121.5895    2.2981e+10    1.00
    121.5895    121.5945    2.4695e+10    1.00
    121.5945    121.5995    2.3962e+10    1.00
    121.5995    121.6045    2.0780e+10    1.00
    121.6045    121.6095    1.6435e+10    1.00
    121.6095    121.6145    1.2396e+10    1.00
    121.6145    121.6195    8.9135e+09    1.00
    121.6195    121.6245    6.4633e+09    1.00
    121.6245    121.6295    4.7752e+09    1.00
    121.6295    121.6345    3.5815e+09    1.00
    121.6345    121.6395    2.7449e+09    1.00
    121.6395    121.6445    2.1873e+09    1.00
    121.6445    121.6495    1.8108e+09    1.00
    121.6495    121.6545    1.5211e+09    1.00
    121.6545    121.6595    1.3039e+09    1.00
    121.6595    121.6645    1.1228e+09    1.00
    121.6645    121.6760    2.2496e+09    1.00
    121.6760    121.7050    3.7828e+09    1.00
    121.7050    121.7500    3.2620e+09    1.00
    121.7500    121.8000    1.8129e+09    1.00
    121.8000    121.8500    1.0882e+09    1.00
    121.8500    121.9000    7.2573e+08    1.00
    121.9000    121.9500    5.4451e+08    1.00
    121.9500    122.0000    4.3581e+08    1.00
    122.0000    122.0500    3.6334e+08    1.00
    122.0500    122.1000    3.2714e+08    1.00
    122.1000    122.1500    2.9090e+08    1.00
    122.1500    122.2000    2.5465e+08    1.00
    122.2000    122.2500    2.3557e+08    1.00
    122.2500    122.3000    2.0614e+08    1.00
    122.3000    122.3500    1.8450e+08    1.00
    122.3500    122.4000    1.6924e+08    1.00
    122.4000    122.4500    1.5813e+08    1.00
    122.4500    122.5000    1.4952e+08    1.00
    122.5000    122.5500    1.4199e+08    1.00
    122.5500    122.6000    1.3570e+08    1.00
    122.6000    122.6500    1.2987e+08    1.00
    122.6500    122.7000    1.2540e+08    1.00
    122.7000    122.7500    1.2176e+08    1.00
    122.7500    122.8000    1.1822e+08    1.00
    122.8000    122.8500    1.1479e+08    1.00
    122.8500    122.9000    1.1162e+08    1.00
    122.9000    122.9500    1.0852e+08    1.00
    122.9500    123.2375    6.3151e+08    1.00
    123.2375    124.0000    1.8515e+09    1.00
    124.0000    125.0000    2.0682e+09    1.00
    125.0000    126.0000    1.8627e+09    1.00
